Slide,X,Y
absence,201838.88,442273.2308
absence,201888.88,442273.2308
absence,201938.88,442273.2308
absence,201988.88,442273.2308
absence,202038.88,442273.2308
absence,202838.88,442273.2308
absence,202888.88,442273.2308
absence,202938.88,442273.2308
absence,201788.88,442223.2308
absence,201838.88,442223.2308
absence,201888.88,442223.2308
absence,201938.88,442223.2308
absence,201988.88,442223.2308
absence,202038.88,442223.2308
absence,202388.88,442223.2308
absence,202438.88,442223.2308
absence,202788.88,442223.2308
absence,202838.88,442223.2308
absence,202888.88,442223.2308
absence,202938.88,442223.2308
absence,201688.88,442173.2308
absence,201738.88,442173.2308
absence,201788.88,442173.2308
absence,201838.88,442173.2308
absence,201888.88,442173.2308
absence,201938.88,442173.2308
absence,201988.88,442173.2308
absence,202238.88,442173.2308
absence,202338.88,442173.2308
absence,202388.88,442173.2308
absence,202438.88,442173.2308
absence,202488.88,442173.2308
absence,202688.88,442173.2308
absence,202738.88,442173.2308
absence,202788.88,442173.2308
absence,202838.88,442173.2308
absence,202888.88,442173.2308
absence,202938.88,442173.2308
absence,202988.88,442173.2308
absence,201388.88,442123.2308
absence,201438.88,442123.2308
absence,201488.88,442123.2308
absence,201538.88,442123.2308
absence,201588.88,442123.2308
absence,201638.88,442123.2308
absence,201688.88,442123.2308
absence,201738.88,442123.2308
absence,201788.88,442123.2308
absence,201838.88,442123.2308
absence,201888.88,442123.2308
absence,201938.88,442123.2308
absence,202088.88,442123.2308
absence,202138.88,442123.2308
absence,202188.88,442123.2308
absence,202238.88,442123.2308
absence,202338.88,442123.2308
absence,202388.88,442123.2308
absence,202438.88,442123.2308
absence,202488.88,442123.2308
absence,202538.88,442123.2308
absence,202588.88,442123.2308
absence,202638.88,442123.2308
absence,202688.88,442123.2308
absence,202738.88,442123.2308
absence,202788.88,442123.2308
absence,202838.88,442123.2308
absence,202888.88,442123.2308
absence,202938.88,442123.2308
absence,202988.88,442123.2308
absence,203038.88,442123.2308
absence,201388.88,442073.2308
absence,201438.88,442073.2308
absence,201488.88,442073.2308
absence,201538.88,442073.2308
absence,201588.88,442073.2308
absence,201638.88,442073.2308
absence,201688.88,442073.2308
absence,201738.88,442073.2308
absence,201788.88,442073.2308
absence,201838.88,442073.2308
absence,201888.88,442073.2308
absence,202088.88,442073.2308
absence,202138.88,442073.2308
absence,202188.88,442073.2308
absence,202238.88,442073.2308
absence,202388.88,442073.2308
absence,202538.88,442073.2308
absence,202588.88,442073.2308
absence,202638.88,442073.2308
absence,202688.88,442073.2308
absence,202738.88,442073.2308
absence,202788.88,442073.2308
absence,202838.88,442073.2308
absence,202888.88,442073.2308
absence,202938.88,442073.2308
absence,202988.88,442073.2308
absence,203038.88,442073.2308
absence,203088.88,442073.2308
absence,203138.88,442073.2308
absence,203188.88,442073.2308
absence,201338.88,442023.2308
absence,201388.88,442023.2308
absence,201438.88,442023.2308
