"Species","Long","Lat","aspect","depth","diameter","drain","elevation","ense","fage","fdens","ftype","geolo","relief","plcurv","prcurv","sdc","slope","spi","sti","stype","twi"
"slide",201207.872,441396.0674,9,4,1,22.3607,174.598,0.06,1,1,3,3,19.1278,-0.743281,-0.401545,2,20.2032,2.57594,9.49026,3,4.52606
"slide",201716.3443,441245.9112,3,4,1,40,75.5851,0,1,1,3,2,13.343,-0.078329,0.822298,2,15.2274,0.240754,1.64183,3,1.99434
"slide",200337.596,440828.4706,9,2,1,161.555,243.199,0.07,1,1,3,3,17.9888,0.235767,-0.115354,3,18.3212,0.286027,2.07377,1,1.7984
"slide",200396.1461,440463.7517,3,2,1,31.6228,196.122,0.12,1,1,3,3,17.8508,-0.695284,1.08854,3,20.865,1.48851,5.87466,1,3.26711
"slide",201964.9739,441433.3724,5,4,1,14.1421,83.6255,0.04,1,1,3,3,17.9364,-0.383294,-0.346879,2,21.1264,1.19948,5.07292,3,2.8968
"slide",199655.5331,440754.8986,9,2,1,31.6228,109.549,0.17,1,1,3,3,21.6099,-0.523161,0.257494,3,24.9645,2.37738,10.2803,1,3.85557
"slide",201770.8002,440916.1566,3,3,1,131.529,106.823,0.02,1,1,3,3,18.0668,-0.0910042,0.105071,3,19.8773,0.544121,3.03026,1,2.11598
"slide",201635.9425,441335.0541,4,3,1,94.3398,130.007,0.01,1,1,3,3,29.7213,1.56484,0.296809,3,29.6343,0,0,1,0.564101
"slide",201791.3458,441479.8406,3,4,1,10,88.351,0.01,1,1,3,3,11.1173,-0.980543,-0.0123805,2,8.80888,2.45897,4.4288,3,6.11304
"slide",202641.5584,441812.0892,7,1,1,98.9949,70.1619,0.32,1,1,3,3,22.9318,-0.848833,0.035635,3,25.2942,1.34429,6.32854,1,2.69547
"slide",201260.3965,440738.8864,3,2,1,72.111,154.189,0.16,1,1,3,2,23.9088,-0.10304,-0.335462,3,28.0822,0.726148,4.62551,1,1.72681
"slide",202685.3915,441654.6236,6,1,1,142.127,55.0781,0.1,1,1,3,3,23.0015,0.095746,0.438249,3,22.5707,0.809587,4.17209,1,2.26418
"slide",198964.2068,441219.7845,3,2,1,125.3,58.9944,0,1,1,3,1,13.7891,0.623022,-0.554754,3,18.1156,1.08617,4.18665,1,3.06324
"slide",200868.6534,440973.737,3,1,1,50.9902,244.922,0.07,3,1,3,2,28.5052,-0.00439317,0.00137465,0,33.891,2.04348,10.9741,0,2.79577
"slide",200887.3585,440778.0388,5,2,1,110.454,250.992,0.1,3,1,3,2,24.4562,-0.0328033,0.312381,3,30.3685,1.20712,6.69675,1,2.14394
"slide",199494.7514,440591.9496,8,2,1,86.0232,148.867,0.37,1,1,3,3,35.114,0.0349863,0.255247,3,35.0689,1.5063,8.64689,1,2.14558
"slide",199449.8435,440644.1917,8,4,1,92.1954,114.102,0.08,1,2,3,3,25.1675,-1.67136,1.0872,2,26.5239,2.39626,10.8494,3,3.73947
"slide",201822.2351,440851.6674,2,3,1,150,98.965,0.01,1,1,3,3,14.0068,0.312713,-1.53913,3,16.0688,0.253126,1.75766,1,1.93778
"slide",201197.6064,440733.8197,5,2,1,58.3095,167.817,0.11,1,1,3,2,21.2807,-0.930304,1.56063,3,23.2376,0.999716,4.85159,1,2.45486
"slide",199521.3472,440118.6792,8,4,1,76.1577,135.088,0.01,1,1,3,3,19.0615,0.615817,0.108722,2,23.3923,1.58785,6.76541,3,3.14058
"slide",200904.6058,440794.5013,5,2,1,130.384,263.403,0.12,3,1,3,2,20.2978,0.197838,-1.98869,3,24.448,0.374752,2.9652,1,1.48142
